,question,answer,contexts,ground_truth,context_relevancy,context_precision,context_recall,faithfulness,answer_relevancy
0,¿cuáles son los pasos para gestionar un contrato menor?,"Para gestionar un contrato menor de importe inferior a 5.000 € (sin IGIC), se deben seguir los siguientes pasos:

1. Crear el justificante de gasto en UXXI Económico.
2. Imputar a la partida presupuestaria el importe de la factura.
3. En la sección de documentación del justificante de gasto, añadir la factura registrada y firmada según lo establecido en el apartado cuarto de la instrucción de contratos menores.","['Se acompaña enlace relativo a Instrucción sobre tramitación de Contratos Menores.'
 'Entre los cambios introducidos recientemente en la gestión del gasto destaca la nueva instrucción\nrelativa a la tramitación de contratos menores, aprobada por resolución del Rector de 23 de\nnoviembre de 2023.'
 '### 1.9.- Especial referencia a los contratos menores. #### A) En el caso de contratos menores de importe inferior a 5.000 € (sin IGIC):\nSe procederá a la creación del justificante de gasto en UXXI Económico imputando a la partida\npresupuestaria el importe de la factura y en la sección de documentación del justificante de gasto\nañadir:\na. Factura registrada y firmada según lo establecido en el apartado cuarto de la instrucción de\ncontratos menores.'
 'c. Factura registrada y firmada según lo establecido en el apartado cuarto de la instrucción de\ncontratos menores. d.'
 'Hasta el 16 de septiembre de 2024, se podrán enviar al Servicio de Contratación y\nPatrimonio las solicitudes de inicio de expediente de contratación anticipada,\nadjuntando la documentación necesaria que implica cada tipología de contrato.']","Para gestionar un contrato menor en la Universidad de La Laguna, se deben seguir varios pasos clave que aseguran el cumplimiento de la normativa vigente y la transparencia del proceso. Estos pasos son:

1. **Verificación de la Existencia de Crédito**: Antes de iniciar cualquier procedimiento, es necesario verificar que existe crédito disponible en la partida presupuestaria correspondiente para cubrir el gasto del contrato.

2. **Solicitud y Conformación de Presupuesto**: Se debe solicitar a la empresa un presupuesto detallado y conformado sobre el servicio, suministro o obra que se pretende realizar. Este presupuesto debe ser revisado y aprobado por el órgano competente dentro de la Universidad.

3. **Aprobación del Gasto**: Una vez conformado el presupuesto, se procede a la aprobación del gasto. Este paso es crucial para formalizar el compromiso de la Universidad con el gasto que implica el contrato.

4. **Supervisión de la Ejecución**: Durante la ejecución del servicio, obra o suministro, es necesario realizar un seguimiento para asegurar que se cumplen las condiciones pactadas. Esto incluye la supervisión de la calidad, los tiempos de entrega y otros aspectos relevantes del contrato.

5. **Certificación de la Obra o Servicio**: En caso de contratos de obras, al finalizar los trabajos, se debe realizar una certificación de la obra y elaborar el informe correspondiente para la factura. Si no se incluye en el informe la conformidad con la obra, se debe elaborar un acta de recepción.

6. **Pago y Cierre del Contrato**: Una vez finalizado el servicio o recibida la mercancía, y tras la verificación de que todo es conforme, se procede al pago de la factura. Este paso finaliza con el cierre administrativo del contrato.

Es importante destacar que, para los contratos menores de importe igual o superior a 5.000 € (sin IGIC), estos pasos pueden variar ligeramente en función de las especificaciones del contrato y los requerimientos internos de la Universidad. Además, se debe tener en cuenta que ciertos contratos pueden estar exentos de algunos requisitos bajo disposiciones específicas, como la Disposición adicional séptima del Decreto-ley 4/2021, que simplifica la tramitación de ciertos gastos menores.",0.2777777777777778,0.99999999998,0.8571428571428571,1.0,0.936636110864931
1," soy el director del departamento de análisis matemático y tengo que organizar el sorteo de los miembros externos de una comisión de selección para una plaza de profesor permanente laboral, ¿qué pasos debo dar exactamente?","Basándome únicamente en el contexto proporcionado, no se detallan los pasos específicos para organizar el sorteo de los miembros externos de una comisión de selección para una plaza de profesor permanente laboral. Sin embargo, el contexto menciona la necesidad de simplificar y agilizar los procesos de contratación docente e investigador, lo cual podría implicar que los procedimientos actuales deben ser eficientes y claros.

En ausencia de información específica sobre los pasos, podrías considerar los siguientes pasos generales como guía:

1. **Revisar la Normativa Vigente**: Consulta las normas y procedimientos específicos de la Universidad de La Laguna y cualquier reglamento aplicable.
  
2. **Identificar Candidatos Externos**: Elabora una lista de posibles miembros externos que cumplan con los requisitos necesarios para formar parte de la comisión de selección.
  
3. **Preparar el Sorteo**: Define el método de sorteo que se utilizará para seleccionar a los miembros externos. Esto puede incluir la preparación de papeletas, un sistema digital, etc.

4. **Realizar el Sorteo**: Lleva a cabo el sorteo en presencia de testigos para asegurar la transparencia del proceso.

5. **Comunicar Resultados**: Informa a los seleccionados y a las autoridades pertinentes sobre los resultados del sorteo.

6. **Formalizar la Comisión**: Una vez seleccionados, formaliza la composición de la comisión de selección según los procedimientos establecidos por la universidad.

Dado que el contexto no proporciona detalles específicos, sería prudente consultar con los órganos de gobierno de la universidad o el Vicerrectorado correspondiente para obtener directrices precisas y asegurarte de cumplir con todos los requisitos institucionales y legales.","['Simplificar y agilizar los procesos de contratación docente e investigador, así como de\npersonal de gestión, administración y servicios.'
 '2. Iniciar la elaboración de un nuevo Catálogo de Titulaciones Oficiales de la Universidad\nde La Laguna a partir del análisis de la situación actual y de las posibilidades que\nbrinda el RD 822/2021, incluyendo nuevos títulos de grado y posgrado que den\nrespuesta a las demandas del entorno que nuestra universidad no oferta, pero que\ntienen el potencial de ser demandados desde el mundo laboral. Agilizar los procesos\nde verificación y modificación de títulos oficiales.'
 'posibilite dar respuesta al reto de la LOSU, así como agilizar los procesos internos\npara su contratación y gestión.'
 'La Universidad de La Laguna remitirá a la Consejería de Universidades, Ciencia e\nInnovación y Cultura, a través del Consejo Social, una relación del profesorado, tipos de\ncomplementos asignados y abonados a cada uno y el importe de los mismos, antes del 31 de\n'
 'Convenios de colaboración firmados por el Vicerrectorado de Investigación y Transferencia\ncuyo IP sea miembro del departamento. 3.']","De acuerdo a la normativa de la Universidad de La Laguna, como director del departamento de análisis matemático encargado de organizar el sorteo de los miembros externos de una comisión de selección para una plaza de profesor permanente laboral, los pasos que debes seguir son los siguientes:

1. El primer paso es elaborar una lista cualificada de personal docente e investigador no perteneciente a la Universidad de La Laguna, que cumpla con los requisitos establecidos en la normativa. Esta lista debe ser aprobada por el Departamento y puede ser complementada con otros profesionales que cumplan con los criterios para participar en las Comisiones de Selección.

2. Posteriormente, se procede a la realización del sorteo público en una sesión del Consejo de Departamento. Durante esta sesión, se llevará a cabo el sorteo de los miembros externos de la Comisión de Selección a partir de la lista cualificada previamente elaborada. Es importante que este sorteo se realice de manera transparente y se levante un acta con el resultado del mismo.

3. Una vez completado el sorteo, se procede a la designación de los miembros externos de la Comisión de Selección que participarán en el proceso de evaluación de los concursos de acceso a plazas de Profesorado Permanente Laboral. Estos miembros externos deben ser elegidos de manera imparcial y profesional, garantizando una composición equilibrada entre hombres y mujeres, salvo que existan razones fundadas y objetivas que impidan este equilibrio.

Siguiendo estos pasos, cumplirás con los procedimientos establecidos en la normativa de la Universidad de La Laguna para organizar el sorteo de los miembros externos de la Comisión de Selección de manera adecuada y conforme a las regulaciones vigentes.",0.0,0.99999999998,1.0,1.0,0.0
2,¿Cuál es la cuantí total del presupuesto de gastos de la ULL para el año 2024?,El contexto proporcionado no especifica la cuantía total del presupuesto de gastos de la Universidad de La Laguna (ULL) para el año 2024.,"['El Presupuesto de la Universidad de La Laguna para el ejercicio 2024 es público,\núnico y equilibrado y comprende la totalidad de las obligaciones que, como máximo, pueden ser\nreconocidas y los derechos que se prevé liquidar durante el ejercicio.'
 'Asimismo, los Estatutos de la institución universitaria, aprobados por Decreto 66/2022,\nde 24 de marzo, por el que se aprueba la reforma de los Estatutos de la Universidad de La\nLaguna, (Boletín Oficial de Canarias núm. 67, martes 5 de abril de 2022), en concreto, en su\nartículo 122, establecen que la Universidad contará con un presupuesto anual, único, público y\nequilibrado que contendrá la totalidad de sus ingresos y gastos durante el año natural.'
 'Presupuesto.'
 'Los créditos consignados en el programa 322F «Financiación de las Universidades\nCanarias» como aportaciones dinerarias destinadas a financiar globalmente su actividad, se\nsometerán a las reglas contenidas en la Ley de Presupuestos para la Comunidad Autónoma de\nCanarias para 2024, y la normativa específica que resulte de aplicación.'
 'La elaboración del presupuesto de la Universidad de La Laguna se ha llevado a cabo a\npartir de los Criterios Básicos de Presupuestación para el ejercicio 2024, y cuya competencia\nde aprobación corresponde al Consejo de Gobierno, teniendo en cuenta, entre otras, la\nsiguiente normativa:\n-\nLey 47/2003, de 26 de noviembre, General Presupuestaria. -\nLey 11/2006, de 11 de diciembre, de la Hacienda Pública Canaria, en cuanto al\nrégimen presupuestario, económico financiero, de contabilidad y control, de\nconformidad con lo señalado en su disposición adicional octava.']","El presupuesto total de gastos de la Universidad de La Laguna para el año 2024 asciende a 173.771.500 euros. Este presupuesto está distribuido en diferentes capítulos que incluyen gastos de personal, gastos en bienes corrientes y servicios, gastos financieros, transferencias corrientes, fondo de contingencia y otros imprevistos, inversiones reales, activos financieros y pasivos financieros.",0.0,0.99999999998,0.5,,0.0
3,¿Cuál es el límite de los contratos menores de investigación?,"El contexto proporcionado no especifica explícitamente el límite de los contratos menores de investigación. Solo menciona que hay una nueva instrucción relativa a la tramitación de contratos menores aprobada por resolución del Rector el 23 de noviembre de 2023. Para conocer el límite específico, sería necesario consultar la instrucción mencionada.","['Convocatorias del Plan Propio de Investigación.'
 'Se acompaña enlace relativo a Instrucción sobre tramitación de Contratos Menores.'
 'Hasta el 8 de marzo de 2024, se podrán enviar al Servicio de Contratación y\nPatrimonio las solicitudes de inicio de expediente de contratación adjuntando\nla documentación necesaria que implica cada tipología de contrato. Este periodo\nafecta sólo a los contratos no plurianuales que están vinculados con créditos del\nejercicio presupuestario 2024.'
 'Entre los cambios introducidos recientemente en la gestión del gasto destaca la nueva instrucción\nrelativa a la tramitación de contratos menores, aprobada por resolución del Rector de 23 de\nnoviembre de 2023.'
 'Convenios de colaboración firmados por el Vicerrectorado de Investigación y Transferencia\ncuyo IP sea miembro del departamento. 3.']","En la Universidad de La Laguna, los contratos menores de investigación tienen un límite de valor estimado inferior a 50.000 euros (IGIC no incluido). Este límite se aplica siempre que los contratos no estén destinados a servicios generales y de infraestructura. Esta disposición forma parte de las instrucciones relativas a la tramitación de los contratos menores en la Universidad, establecidas para asegurar una gestión adecuada y transparente de los recursos destinados a la investigación dentro del marco normativo vigente.",0.0,0.99999999998,1.0,1.0,0.0
4,¿Cuáles son las tasas del animalario de la ULL?,El contexto proporcionado no incluye información sobre las tasas del animalario de la Universidad de La Laguna.,"['Asimismo, los Estatutos de la institución universitaria, aprobados por Decreto 66/2022,\nde 24 de marzo, por el que se aprueba la reforma de los Estatutos de la Universidad de La\nLaguna, (Boletín Oficial de Canarias núm. 67, martes 5 de abril de 2022), en concreto, en su\nartículo 122, establecen que la Universidad contará con un presupuesto anual, único, público y\nequilibrado que contendrá la totalidad de sus ingresos y gastos durante el año natural.'
 'La Universidad de La Laguna remitirá a la Consejería de Universidades, Ciencia e\nInnovación y Cultura, a través del Consejo Social, una relación del profesorado, tipos de\ncomplementos asignados y abonados a cada uno y el importe de los mismos, antes del 31 de\n'
 'Los créditos consignados en las líneas de actuación 174G1651 «Asignación\nConsejo Social Universidad de La Laguna» y 174G1655 «Gastos funcionamiento Universidad\nde La Laguna» se librarán de forma fraccionada en doceavas partes al comienzo de cada mes\nnatural. La justificación de estos fondos se efectuará con la presentación de la liquidación del\npresupuesto de cada universidad, que será remitida a la Dirección General de Universidades e\nInvestigación antes del 30 de junio del año inmediatamente posterior.'
 '(00 34) 922 319 475/6 Fax (00 34) 922 319 510\nscgral@ull.es www.ull.es\ny gastos de menor cuantía. Dichas cantidades no podrán exceder en\nningún caso de 300 Euros.'
 'En el siguiente enlace figuran los códigos DIR3\nde las diferentes unidades organizativas de la ULL.']","Las tarifas del animalario de la Universidad de La Laguna varían según el tipo de animal y el servicio solicitado. A continuación, se detallan algunos de los precios establecidos:

1. **Rata Sprague Dawley / unidad**:
   - ULL: 10,00 €
   - OP: 12,00 €
   - GENERAL: 15,00 €

2. **Rata preñada / unidad**:
   - ULL: 25,00 €
   - OP: 32,00 €
   - GENERAL: 45,00 €

3. **Ratón Swiss-OF1 / unidad**:
   - ULL: 3,00 €
   - OP: 3,50 €
   - GENERAL: 6,00 €

4. **Ratona Swiss-OF1 preñada / unidad**:
   - ULL: 12,00 €
   - OP: 15,00 €
   - GENERAL: 25,00 €

5. **Ratón consanguíneo / unidad**:
   - ULL: 8,82 €
   - OP: 10,40 €
   - GENERAL: 12,00 €

6. **Ratona consanguínea preñada / unidad**:
   - ULL: 25,00 €
   - OP: 31,00 €
   - GENERAL: 42,00 €

7. **Mantenimiento de ratón por jaula / semana**:
   - ULL: 2,00 €
   - OP: 2,50 €
   - GENERAL: 5,00 €

8. **Mantenimiento de rata / semana**:
   - ULL: 2,50 €
   - OP: 3,00 €
   - GENERAL: 5,00 €

9. **Mantenimiento de conejo / semana**:
   - ULL: 8,00 €
   - OP: 10,00 €
   - GENERAL: 20,00 €

Estos precios son indicativos y pueden variar según las necesidades específicas y los servicios adicionales requeridos. Además, es importante tener en cuenta que estos precios no incluyen el IGIC (Impuesto General Indirecto Canario)",0.0,0.99999999998,1.0,,0.0
5,¿Qué es el adelanto de caja?,"El adelanto de caja se refiere a los fondos que se entregan por adelantado para cubrir gastos específicos. Estos adelantos deben estar cerrados a fecha 2 de diciembre de 2024, es decir, deben estar justificados con recibos de gastos o cobrados, total o parcialmente, por la parte no justificada. No pueden permanecer en estado ""abierto"" después de esa fecha.","['### 3.3.Anticipos de caja fija.'
 '### 1.4.- Procedimiento de pago a través del sistema de Anticipo de Caja Fija.'
 'Posibilidad de aumentar a algunos departamentos, los que tienen más\npresupuesto, el límite de la caja fija.'
 'Los adelantos de cajero que se realicen, deberán estar cerrados a fecha 2 de\ndiciembre de 2024; es decir asociados a justificante del gasto o cobrados, ya sea\ntotal o parcialmente por la parte no justificada. No podrán tener el estado de ""abierto""\na partir de esa fecha.']"," El adelanto de caja, según la normativa de la Universidad de La Laguna, se refiere a las provisiones de fondo de carácter extrapresupuestario y permanente que se realizan en los centros de gasto de la Universidad para la atención inmediata y posterior aplicación al capítulo de gastos corrientes en bienes y servicios del presupuesto del año en que se realicen. Estos anticipos, conocidos como ""anticipos de Caja Fija"", no tienen la consideración de pagos a justificar. 

Este sistema permite manejar fondos de manera ágil para cubrir necesidades inmediatas de gasto, facilitando así la operativa diaria sin tener que pasar por todos los trámites administrativos ordinarios que requieren otros tipos de gastos. La regulación de estos anticipos busca proporcionar un marco legal claro y adecuado para su gestión, asegurando la correcta administración de los recursos financieros de la Universidad.",0.0,0.999999999975,1.0,1.0,1.0000000000000007
6,¿Que es el anticipo de caja?,"Según el contexto proporcionado, un ""anticipo de Caja Fija"" se refiere a las provisiones de fondos de carácter extrapresupuestario y permanente que se realizan en los Centros de gasto de la Universidad de La Laguna. Estas provisiones están destinadas a la atención inmediata de gastos y posteriormente se aplican al capítulo de gastos corrientes en bienes y servicios del presupuesto del año en que se realizan. Estos anticipos no se consideran pagos a justificar.","['### 3.3.Anticipos de caja fija.'
 '### 1.4.- Procedimiento de pago a través del sistema de Anticipo de Caja Fija.'
 'ARTÍCULO 4.-Primero.-El Negociado de Caja Fija y Pagos a justificar, retendrá el crédito necesario para dar cobertura al anticipo otorgado. y contabilizará un documento contable PMP de carácter no presupuestario por el importe en cuestión.'
 'En su virtud, a propuesta de la Gerencia de la Universidad de La Laguna, la\nJunta de Gobierno de la Universidad de La Laguna, en su sesión del día 31 de octubre\nde 2002\nDISPONE:\n# Artículo 1.-\nA los efectos del presente reglamento, se entiende por “anticipos de Caja\nFija” las provisiones de fondo de carácter extrapresupuestario y permanente que se\nrealicen en los Centros de gasto de la Universidad de La Laguna para la atención\ninmediata y posterior aplicación al capítulo de gastos corrientes en bienes y servicios\ndel presupuesto del año en que se realicen. Estos anticipos no tendrán la consideración\nde pagos a justificar.']","El anticipo de caja fija en la Universidad de La Laguna se define como las provisiones de fondos de carácter no presupuestario y permanente que se realizan en los centros de gasto de la Universidad para la atención inmediata y posterior aplicación al capítulo de gastos corrientes del presupuesto del ejercicio en que se realicen. Estos anticipos están destinados a cubrir gastos de carácter periódico o repetitivo que no están sujetos a fiscalización previa.

Este sistema permite una gestión ágil de ciertos gastos corrientes, facilitando así la operativa diaria de los distintos departamentos y unidades sin necesidad de tramitar cada gasto de manera individual a través del proceso ordinario de fiscalización previa. La regulación de los anticipos de caja fija busca proporcionar un marco adecuado para su manejo y control, asegurando que los fondos se utilicen de manera eficiente y conforme a las necesidades institucionales.",0.11764705882352941,0.999999999975,1.0,1.0,0.9088989491403243
7,¿Dónde están regulados los anticipos de caja?,"Los anticipos de caja están regulados en el Reglamento de Anticipo de Caja Fija, aprobado por acuerdo de la Junta de Gobierno de la Universidad de La Laguna el 31 de octubre de 2002 y modificado por acuerdo del Consejo de Gobierno el 20 de mayo de 2009.","['# REGLAMENTO DE ANTICIPO DE CAJA\n# FIJA\nAprobado por acuerdo de la Junta de Gobierno (31 de octubre\n# de 2002)\n# Modificado por acuerdo del Consejo de Gobierno (20 de mayo de 2009)\nEl artículo 206.2 de los Estatutos de la Universidad de La Laguna, aprobados por\nDecreto 230/2000, de 22 de diciembre, otorga competencias a la Junta de Gobierno\npara regular los llamados “anticipos a justificar”. Si bien con amparo en el contenido de dicho artículo, la Junta de Gobierno de esta\nUniversidad acometió la regulación de los “pagos a justificar” en su sesión del día 20\nde mazo de 1987, no ha sucedido lo mismo con los “anticipos de Caja Fija”, cuya\nregulación se ha venido realizando tradicionalmente a través de Instrucciones del\nRector.'
 'En su virtud, a propuesta de la Gerencia de la Universidad de La Laguna, la\nJunta de Gobierno de la Universidad de La Laguna, en su sesión del día 31 de octubre\nde 2002\nDISPONE:\n# Artículo 1.-\nA los efectos del presente reglamento, se entiende por “anticipos de Caja\nFija” las provisiones de fondo de carácter extrapresupuestario y permanente que se\nrealicen en los Centros de gasto de la Universidad de La Laguna para la atención\ninmediata y posterior aplicación al capítulo de gastos corrientes en bienes y servicios\ndel presupuesto del año en que se realicen. Estos anticipos no tendrán la consideración\nde pagos a justificar.'
 '### 1.4.- Procedimiento de pago a través del sistema de Anticipo de Caja Fija.']","Los anticipos de caja fija en la Universidad de La Laguna están regulados en el ""Reglamento de Anticipo de Caja Fija"" aprobado por la Junta de Gobierno de la Universidad. Este reglamento establece las disposiciones para la gestión y el control de los anticipos de caja fija, que son provisiones de fondo de carácter extrapresupuestario y permanente destinadas a la atención inmediata de gastos corrientes en bienes y servicios. Además, se especifica que estos anticipos no tendrán la consideración de pagos a justificar. 

El procedimiento de gestión de estos anticipos incluye la asignación de un porcentaje máximo del presupuesto destinado a gastos corrientes que puede ser asignado a los centros de gasto para este fin, así como la regulación sobre cómo deben ser justificados y fiscalizados estos fondos. También se menciona que los centros de gasto deben disponer de una cuenta restringida de pagos para la gestión de estos anticipos, y que los habilitados pagadores y sus sustitutos serán nombrados por Resolución Rectoral.

En resumen, la regulación de los anticipos de caja fija en la Universidad de La Laguna se encuentra detallada en el mencionado reglamento, el cual proporciona un marco jurídico para la correcta administración y control de estos fondos, asegurando su uso adecuado y transparente dentro de la institución.",0.07692307692307693,0.9999999999666667,1.0,1.0,0.9251534237374486
8,Enumera 5 objetivos concretos del presupuesto 2024,"Lo siento, pero el contexto proporcionado no incluye información específica sobre los objetivos concretos del presupuesto 2024.","['Plazos económicos y de contratación. Con\nel\nobjetivo\nde\noptimizar\ny\nmejorar el seguimiento de la ejecución\npresupuestaria se definen las siguientes fases y periodos para la ejecución del\npresupuesto 2024.'
 'Presupuesto.'
 '24/05/2024\nSegunda remesa de modificaciones presupuestarias.'
 'La justificación de todo\nanticipo que se destine a gastos que se deban imputar al presupuesto 2024 deberá\npresentarse como fecha límite el 15 de noviembre de 2024.']"," Los objetivos concretos del presupuesto 2024 de la Universidad de La Laguna incluyen:

1. Mejorar la experiencia del alumnado en su paso por la Universidad, así como preparar su transición a la vida laboral.
2. Potenciar y promover la cultura y la extensión universitaria generadas en la Universidad de La Laguna para el beneficio y al alcance de toda la sociedad, optimizando su calidad, procurando una oferta amplia e idónea y mejorando su dotación.
3. Consolidar la proyección social de la Universidad mediante iniciativas que vinculen la docencia y la investigación con la realidad medioambiental, cultural y social de Canarias y del mundo, observando los Objetivos de Desarrollo Sostenible.
4. Favorecer la cooperación y el desarrollo de proyectos que aumenten el carácter internacional de la Universidad de La Laguna.
5. Promover el aprendizaje de idiomas en la comunidad universitaria, así como el uso del español por extranjeros en el ámbito universitario.",0.0,0.999999999975,1.0,,0.0
9,Qué servicios presta el SEGAI,"Según el contexto proporcionado, el SEGAI es responsable de realizar el seguimiento de los gastos y los ingresos relacionados con los servicios prestados para poder tramitar las formalizaciones en plazo por parte del Servicio de Gestión Económica y Financiera.","['El SEGAI será responsable de realizar el seguimiento de los gastos y los ingresos\nrelacionados con los servicios prestados para poder tramitar las formalizaciones en\nplazo por parte del Servicio de Gestión Económica y Financiera. #\nLa Gerenta,\nFdo.: María Teresa Covisa Rubia\n'
 'SEGAI.'
 'Mejorar la información, el acompañamiento, y los servicios de alojamiento y ayudas al\nalumnado.'
 '#\nJefa del Servicio de Gestión Económica y Financiera\n']","El Servicio General de Apoyo a la Investigación (SEGAI) de la Universidad de La Laguna ofrece una amplia variedad de servicios destinados a apoyar las actividades de investigación y desarrollo dentro de la universidad. Entre los servicios que presta el SEGAI se incluyen:

1. **Departamento de Calidad**: Encargado de asegurar la calidad y el cumplimiento de los estándares en los procesos y resultados de las investigaciones.

2. **Departamento de Promoción, Valorización y Comercialización**: Se enfoca en la promoción y la explotación comercial de los resultados de la investigación.

3. **Estabulario y Animalario**: Proporciona soporte para la investigación que requiere el uso de animales, incluyendo el mantenimiento y cuidado de los mismos.

4. **Instalación Radiactiva del Campus de Anchieta**: Ofrece servicios relacionados con el uso de materiales radiactivos para la investigación.

5. **Laboratorio de Caracterización de Partículas y Microsuperficies**: Proporciona análisis y caracterización de materiales a nivel micro y nano.

6. **Laboratorio de Fonética**: Apoya investigaciones relacionadas con la lingüística y la fonética.

7. **Servicio de Análisis Lípidos, Térmico y de Documentación de Obras de Arte**: Ofrece análisis especializados en diversas áreas.

8. **Servicio de Apoyo a Criminalística Forense y Apoyo Informático a la Investigación**: Brinda asistencia en investigaciones forenses y soporte informático.

9. **Servicio de Electrónica y Mecánica**: Proporciona apoyo técnico en electrónica y mecánica para proyectos de investigación.

10. **Servicios de Espectrometría y Microscopía**: Incluyen espectrometría de masas, espectroscopia de absorción atómica, microscopía electrónica, entre otros.

11. **Servicio de Genómica y Resonancia Magnética**: Ofrece servicios avanzados en genómica y uso de técnicas de resonancia magnética.

12. **Sistema Multitécnicas de Análisis de Superficies y Técnicas Agroalimentarias**: Proporciona análisis de superficies y apoyo en investigaciones agroalimentarias.

Estos servicios son fundamentales para facilitar y potenciar la investigación científica y técnica en la Universidad de La Laguna, proporcionando recursos y tecnología de punta a los investigadores y colaboradores.",0.0,0.999999999975,0.8823529411764706,1.0,0.8937388506331564
